,date,open,close,high,low,volume,code
1843,2014-08-28,3.315,3.295,3.324,3.285,598334.0,600050
1844,2014-08-29,3.315,3.373,3.412,3.276,1226778.0,600050
1845,2014-09-01,3.363,3.363,3.373,3.334,937708.0,600050
1846,2014-09-02,3.363,3.402,3.412,3.334,1134783.0,600050
1847,2014-09-03,3.412,3.461,3.48,3.402,1847675.0,600050
1848,2014-09-04,3.471,3.49,3.519,3.451,1652448.0,600050
1849,2014-09-05,3.49,3.5,3.519,3.461,1130804.0,600050
1850,2014-09-09,3.51,3.48,3.51,3.471,616615.0,600050
1851,2014-09-10,3.48,3.432,3.48,3.402,1231714.0,600050
1852,2014-09-11,3.432,3.441,3.48,3.412,935951.0,600050
1853,2014-09-12,3.432,3.471,3.48,3.412,851885.0,600050
1854,2014-09-15,3.451,3.461,3.471,3.432,945150.0,600050
1855,2014-09-16,3.461,3.48,3.607,3.432,2880005.0,600050
1856,2014-09-17,3.461,3.48,3.519,3.432,1430200.0,600050
1857,2014-09-18,3.471,3.451,3.471,3.432,881051.0,600050
1858,2014-09-19,3.461,3.51,3.549,3.441,1467936.0,600050
1859,2014-09-22,3.49,3.402,3.51,3.402,1310399.0,600050
1860,2014-09-23,3.402,3.451,3.461,3.402,1047495.0,600050
1861,2014-09-24,3.432,3.48,3.49,3.412,1433340.0,600050
1862,2014-09-25,3.49,3.471,3.519,3.451,1082310.0,600050
1863,2014-09-26,3.461,3.5,3.51,3.441,1120809.0,600050
1864,2014-09-29,3.49,3.51,3.549,3.471,1438188.0,600050
1865,2014-09-30,3.51,3.49,3.519,3.471,1268804.0,600050
1866,2014-10-08,3.49,3.51,3.51,3.461,1022661.0,600050
1867,2014-10-09,3.51,3.539,3.578,3.49,1890606.0,600050
1868,2014-10-10,3.519,3.5,3.529,3.48,1380271.0,600050
1869,2014-10-13,3.48,3.461,3.49,3.441,1047822.0,600050
1870,2014-10-14,3.451,3.461,3.49,3.432,866317.0,600050
1871,2014-10-15,3.441,3.48,3.5,3.432,985828.0,600050
1872,2014-10-16,3.461,3.51,3.568,3.441,2511129.0,600050
1873,2014-10-17,3.49,3.461,3.519,3.432,1881862.0,600050
1874,2014-10-20,3.461,3.451,3.471,3.432,1088375.0,600050
1875,2014-10-21,3.451,3.393,3.451,3.393,1330302.0,600050
1876,2014-10-22,3.402,3.383,3.412,3.373,883316.0,600050
1877,2014-10-23,3.383,3.324,3.383,3.315,940148.0,600050
1878,2014-10-24,3.334,3.334,3.344,3.324,595329.0,600050
1879,2014-10-27,3.315,3.305,3.344,3.276,835860.0,600050
1880,2014-10-28,3.324,3.373,3.373,3.315,686234.0,600050
1881,2014-10-29,3.373,3.412,3.432,3.354,1400463.0,600050
1882,2014-10-30,3.402,3.48,3.5,3.393,2552826.0,600050
1883,2014-10-31,3.49,3.539,3.558,3.471,3291263.0,600050
1884,2014-11-03,3.549,3.568,3.626,3.519,3471885.0,600050
1885,2014-11-04,3.549,3.626,3.685,3.519,3904405.0,600050
1886,2014-11-05,3.597,3.558,3.636,3.549,1905590.0,600050
1887,2014-11-06,3.549,3.529,3.568,3.49,2073508.0,600050
1888,2014-11-07,3.529,3.51,3.588,3.49,2143271.0,600050
1889,2014-11-10,3.539,3.626,3.626,3.519,2805878.0,600050
1890,2014-11-11,3.646,3.734,3.88,3.626,6228151.0,600050
1891,2014-11-12,3.695,3.685,3.714,3.636,3158348.0,600050
1892,2014-11-13,3.675,3.675,3.743,3.626,3211397.0,600050
1893,2014-11-14,3.656,3.656,3.675,3.607,1867950.0,600050
1894,2014-11-17,3.675,3.568,3.704,3.558,2403505.0,600050
1895,2014-11-18,3.568,3.519,3.568,3.5,2100196.0,600050
1896,2014-11-19,3.51,3.519,3.549,3.48,1480516.0,600050
1897,2014-11-20,3.51,3.49,3.519,3.48,1177870.0,600050
1898,2014-11-21,3.49,3.539,3.549,3.471,1672012.0,600050
1899,2014-11-24,3.578,3.607,3.626,3.539,3544325.0,600050
1900,2014-11-25,3.597,3.656,3.665,3.578,2711277.0,600050
1901,2014-11-26,3.646,3.685,3.695,3.617,2446055.0,600050
1902,2014-11-27,3.685,3.675,3.714,3.636,2682989.0,600050
1903,2014-11-28,3.675,3.831,3.841,3.665,6046399.0,600050
1904,2014-12-01,3.899,3.841,4.036,3.831,6333549.0,600050
1905,2014-12-02,3.831,4.026,4.026,3.812,4508179.0,600050
1906,2014-12-03,4.055,4.016,4.153,3.938,5546213.0,600050
1907,2014-12-04,4.036,4.358,4.387,4.016,6866584.0,600050
1908,2014-12-05,4.377,4.348,4.533,4.143,7571019.0,600050
1909,2014-12-08,4.338,4.757,4.787,4.26,7293209.0,600050
1910,2014-12-09,4.679,4.338,4.933,4.289,9024298.0,600050
1911,2014-12-10,4.338,4.416,4.475,4.163,4894445.0,600050
1912,2014-12-11,4.358,4.328,4.475,4.25,3505767.0,600050
1913,2014-12-12,4.328,4.358,4.416,4.289,2398193.0,600050
1914,2014-12-15,4.319,4.28,4.328,4.172,3394403.0,600050
1915,2014-12-16,4.25,4.426,4.426,4.202,4726978.0,600050
1916,2014-12-17,4.406,4.426,4.484,4.319,4345861.0,600050
1917,2014-12-18,4.455,4.543,4.562,4.416,4784061.0,600050
1918,2014-12-19,4.533,4.826,4.904,4.465,6865777.0,600050
1919,2014-12-22,4.913,4.777,5.06,4.631,7248538.0,600050
1920,2014-12-23,4.699,4.514,4.757,4.484,3997639.0,600050
1921,2014-12-24,4.494,4.377,4.553,4.27,4096472.0,600050
1922,2014-12-25,4.387,4.504,4.523,4.367,3344904.0,600050
1923,2014-12-26,4.504,4.64,4.748,4.475,3902165.0,600050
1924,2014-12-29,4.718,4.709,4.816,4.631,5055143.0,600050
1925,2014-12-30,4.679,4.718,4.728,4.543,3866541.0,600050
1926,2014-12-31,4.679,4.826,4.874,4.601,5140985.0,600050
1927,2015-01-05,4.845,5.128,5.255,4.787,8312544.0,600050
1928,2015-01-06,5.03,5.04,5.118,4.923,5634697.0,600050
1929,2015-01-07,4.982,5.225,5.264,4.962,6156266.0,600050
1930,2015-01-08,5.245,4.913,5.245,4.894,5486684.0,600050
1931,2015-01-09,4.874,4.855,5.089,4.845,5149009.0,600050
1932,2015-01-12,4.845,4.728,4.933,4.64,4109382.0,600050
1933,2015-01-13,4.689,4.728,4.777,4.67,2099828.0,600050
1934,2015-01-14,4.718,4.65,4.767,4.621,2321598.0,600050
1935,2015-01-15,4.66,4.845,4.855,4.631,3039833.0,600050
1936,2015-01-16,4.865,4.904,4.923,4.816,2639420.0,600050
1937,2015-01-19,4.621,4.426,4.728,4.416,4442114.0,600050
1938,2015-01-20,4.465,4.504,4.572,4.397,2903673.0,600050
1939,2015-01-21,4.533,4.679,4.728,4.504,3351215.0,600050
1940,2015-01-22,4.689,4.689,4.718,4.611,2239128.0,600050
1941,2015-01-23,4.689,4.67,4.777,4.64,2500635.0,600050
1942,2015-01-26,4.66,4.699,4.718,4.631,1701428.0,600050
1943,2015-01-27,4.709,4.601,4.709,4.475,2892107.0,600050
1944,2015-01-28,4.553,4.514,4.572,4.494,1853974.0,600050
1945,2015-01-29,4.436,4.436,4.475,4.387,1944234.0,600050
1946,2015-01-30,4.465,4.406,4.484,4.387,1500832.0,600050
1947,2015-02-02,4.338,4.328,4.377,4.319,1486831.0,600050
1948,2015-02-03,4.338,4.416,4.426,4.338,1667434.0,600050
1949,2015-02-04,4.416,4.416,4.523,4.397,1930272.0,600050
1950,2015-02-05,4.514,4.426,4.523,4.406,2070531.0,600050
1951,2015-02-06,4.377,4.241,4.377,4.163,2379292.0,600050
1952,2015-02-09,4.211,4.27,4.309,4.202,1154270.0,600050
1953,2015-02-10,4.26,4.299,4.319,4.25,1097821.0,600050
1954,2015-02-11,4.319,4.426,4.455,4.28,1645020.0,600050
1955,2015-02-12,4.475,4.796,4.865,4.436,5853496.0,600050
1956,2015-02-13,4.601,4.728,4.816,4.592,6115231.0,600050
1957,2015-02-16,4.728,5.206,5.206,4.699,8228154.0,600050
1958,2015-02-17,5.245,5.401,5.722,5.196,9772600.0,600050
1959,2015-02-25,5.44,5.157,5.44,5.138,5675967.0,600050
1960,2015-02-26,5.138,5.216,5.235,4.982,5436625.0,600050
1961,2015-02-27,5.167,5.508,5.703,5.108,7599789.0,600050
1962,2015-03-02,5.508,5.449,5.586,5.323,4691071.0,600050
1963,2015-03-03,5.381,5.225,5.42,5.177,4548860.0,600050
1964,2015-03-04,5.196,5.264,5.401,5.157,3724273.0,600050
1965,2015-03-05,5.206,5.157,5.206,5.05,4043488.0,600050
1966,2015-03-06,5.147,5.079,5.186,5.06,2204615.0,600050
1967,2015-03-09,5.04,5.138,5.167,4.933,2609229.0,600050
1968,2015-03-10,5.147,5.05,5.167,5.04,2138448.0,600050
1969,2015-03-11,5.05,5.03,5.108,4.991,2137541.0,600050
1970,2015-03-12,5.069,5.128,5.186,5.03,2735535.0,600050
1971,2015-03-13,5.138,5.108,5.167,5.079,2290176.0,600050
1972,2015-03-16,5.04,5.206,5.216,5.011,3796154.0,600050
1973,2015-03-17,5.206,5.303,5.352,5.186,4205039.0,600050
1974,2015-03-18,5.323,5.391,5.401,5.255,4133017.0,600050
1975,2015-03-19,5.42,5.498,5.635,5.371,5627785.0,600050
1976,2015-03-20,5.449,5.42,5.479,5.362,4370537.0,600050
1977,2015-03-23,5.42,5.469,5.508,5.362,4273513.0,600050
1978,2015-03-24,5.44,5.352,5.449,5.245,4904277.0,600050
1979,2015-03-25,5.313,5.216,5.323,5.196,3877343.0,600050
1980,2015-03-26,5.177,5.313,5.352,5.157,3471020.0,600050
1981,2015-03-27,5.293,5.255,5.303,5.216,2166738.37,600050
1982,2015-03-30,5.274,5.469,5.479,5.255,5025499.0,600050
1983,2015-03-31,5.508,5.332,5.527,5.293,4730543.0,600050
1984,2015-04-01,5.323,5.869,5.869,5.313,8831257.0,600050
1985,2015-04-02,5.869,5.81,5.908,5.664,8444340.0,600050
1986,2015-04-03,5.761,5.8,5.878,5.664,5119489.0,600050
1987,2015-04-07,5.8,5.976,6.171,5.8,5894345.0,600050
1988,2015-04-08,5.976,6.025,6.112,5.839,5474508.0,600050
1989,2015-04-09,6.015,5.869,6.025,5.761,4327780.0,600050
1990,2015-04-10,5.839,5.956,5.995,5.8,4555735.0,600050
1991,2015-04-13,5.966,6.122,6.229,5.927,5189993.0,600050
